,넷플릭스_긍정(4-5★),넷플릭스_부정(1-2★),디즈니플러스_긍정(4-5★),디즈니플러스_부정(1-2★)
1위,good (103611번),app (62015번),love (33007번),app (49912번)
2위,app (87690번),netflix (56394번),app (27230번),disney (22602번)
3위,love (67563번),watch (21576번),disney (24489번),watch (14797번)
4위,netflix (56332번),movies (17432번),great (19035번),work (13189번)
5위,movies (47932번),even (16477번),movies (18816번),even (11607번)
6위,great (46100번),phone (14934번),good (18606번),get (10596번)
7위,best (37657번),please (14579번),watch (12647번),phone (10273번)
8위,nice (32062번),good (14267번),shows (10749번),time (8384번)
9위,watch (30508번),bad (14049번),like (8772번),subscription (7305번)
10위,like (25156번),shows (13698번),amazing (7796번),load (7120번)
